date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
2024-09-27 01:00:00 MDT,1727420400,96.02,100.48,ENE,7,5,,80,0.5,3.7,,,16100,,3,,,,5,3.6
2024-09-27 00:00:00 MDT,1727416800,96.08,100.54,SSW,21,15,,71,0.2,5,,,16100,1.7,4,,,,5.5,4.8
2024-09-26 23:00:00 MDT,1727413200,96.08,100.55,SSW,20,13,,71,0.4,5.2,,,16100,1.8,4,,,,7.3,5.2
2024-09-26 22:00:00 MDT,1727409600,96.05,100.52,N,36,17,,75,1.2,5.2,,,16100,1.8,4,,,,9,5.2
2024-09-26 21:00:00 MDT,1727406000,96.04,100.49,WSW,24,9,,57,1.2,9.2,,,16100,1.9,4,,,,11,8.8
2024-09-26 20:00:00 MDT,1727402400,96.03,100.47,WSW,24,17,,52,1.6,11.1,,,16100,2,4,,,,13.4,11.1
2024-09-26 19:00:00 MDT,1727398800,95.97,100.39,W,26,15,,55,4.4,13.2,,,16100,2.1,4,,,,15.1,12.9
2024-09-26 18:00:00 MDT,1727395200,95.85,100.26,W,26,13,,54,5.6,14.9,,,16100,2,4,,,,15.1,14.6
2024-09-26 17:00:00 MDT,1727391600,95.86,100.27,W,26,11,,62,7.4,14.6,,,16100,2,3,,,,14.8,12.3
2024-09-26 16:00:00 MDT,1727388000,95.84,100.26,WNW,30,13,,76,8.6,12.7,,,16100,1.8,4,,,,14.1,12.7
2024-09-26 15:00:00 MDT,1727384400,95.82,100.23,WNW,30,17,28,67,7,12.9,,,16100,1.7,3,,,,13.5,11.9
2024-09-26 14:00:00 MDT,1727380800,95.78,100.19,W,28,22,31,74,8.1,12.7,,,16100,1.6,4,,,,12.7,11.1
2024-09-26 13:00:00 MDT,1727377200,95.7,100.11,W,28,22,,84,8.5,11.1,,,16100,2,3,,,,11.2,10.4
2024-09-26 12:00:00 MDT,1727373600,95.65,100.06,W,26,18,,90,8.9,10.4,,,16100,2,3,,,,10.4,9.2
2024-09-26 11:00:00 MDT,1727370000,95.6,100.01,WSW,24,9,,95,8.5,9.2,,,16100,1.9,4,,,,9.2,8.6
2024-09-26 10:00:00 MDT,1727366400,95.58,99.99,SW,23,11,,96,8,8.6,,,16100,1.9,4,,,,9.1,8.6
2024-09-26 09:00:00 MDT,1727362800,95.52,99.92,WNW,29,15,,93,8,9.1,,,16100,1.8,4,,,,9.9,9.1
2024-09-26 08:00:00 MDT,1727359200,95.45,99.85,WNW,29,22,35,91,8.4,9.8,,,16100,2,4,,,,10.1,9.8
2024-09-26 07:00:00 MDT,1727355600,95.46,99.84,W,28,28,,94,9.3,10.2,,,6400,1.4,4,,,,11.4,10.2
2024-09-26 06:00:00 MDT,1727352000,95.31,99.67,WNW,30,17,,92,10.2,11.4,,,14500,1.4,4,,,,11.6,10.9
2024-09-26 05:00:00 MDT,1727348400,95.22,99.58,W,26,11,,92,9.8,11,,,16100,1.3,4,,,,11.8,10.6
2024-09-26 04:00:00 MDT,1727344800,95.13,99.48,NW,32,11,,91,10.1,11.5,,,16100,1.4,4,,,,12,10.9
2024-09-26 03:00:00 MDT,1727341200,95.13,99.49,W,27,11,,90,9.6,11.2,,,16100,1.3,4,,,,12.2,11.1
2024-09-26 02:00:00 MDT,1727337600,95.25,99.61,SSE,15,5,,86,9.7,11.9,,,16100,1.4,4,,,,12.6,11.7
2024-09-26 01:00:00 MDT,1727334000,95.23,99.59,SW,22,9,,85,9.4,11.8,,,16100,1.5,4,,,,12.3,11
2024-09-26 00:00:00 MDT,1727330400,95.17,99.53,SW,23,11,,90,10.4,12,,,16100,1.5,4,,,,12.9,10.6
2024-09-25 23:00:00 MDT,1727326800,95.08,99.44,SW,22,8,,88,10.7,12.6,,,16100,2,4,,,,14,10.8
2024-09-25 22:00:00 MDT,1727323200,95.07,99.43,SW,23,13,,79,10.6,14.1,,,16100,1.6,4,,,,14.9,14
2024-09-25 21:00:00 MDT,1727319600,95.09,99.45,N,36,0,,79,10.8,14.4,,,16100,1.7,4,,,,15.9,13.9
2024-09-25 20:00:00 MDT,1727316000,95.07,99.44,S,18,8,,76,10.5,14.6,,,16100,1.8,4,,,,17.8,14.5
2024-09-25 19:00:00 MDT,1727312400,95.09,99.45,SW,22,8,,65,11.1,17.7,,,16100,1.8,4,,,,20.2,17.6
2024-09-25 18:00:00 MDT,1727308800,95.1,99.45,WSW,24,13,,55,11.2,20.3,,,16100,1.7,4,,,,20.6,19.3
2024-09-25 17:00:00 MDT,1727305200,95.05,99.4,N,36,0,,52,10.5,20.7,,,16100,1.6,4,,,,20.7,19.5
2024-09-25 16:00:00 MDT,1727301600,95.05,99.41,N,36,0,,55,10.1,19.4,,,16100,1.5,4,,,,20.3,19
2024-09-25 15:00:00 MDT,1727298000,95.11,99.47,WNW,29,5,,57,10.4,19.1,,,16100,1.5,4,,,,19.1,18.3
2024-09-25 14:00:00 MDT,1727294400,95.12,99.48,NNW,33,8,,61,11.2,18.8,,,16100,1.5,4,,,,19.4,18.4
2024-09-25 13:00:00 MDT,1727290800,95.12,99.48,SSE,15,8,,55,10.1,19.2,,,16100,1.6,4,,,,19.2,16.9
2024-09-25 12:00:00 MDT,1727287200,95.11,99.48,ESE,12,13,,62,9.6,16.8,,,16100,1.5,4,,,,16.8,15.3
2024-09-25 11:00:00 MDT,1727283600,95.17,99.55,ESE,12,15,,63,8.3,15.3,,,16100,1.5,4,,,,15.3,14.7
2024-09-25 10:00:00 MDT,1727280000,95.22,99.6,ESE,11,21,30,62,7.7,14.8,,,16100,1.4,4,,,,14.9,13.5
2024-09-25 09:00:00 MDT,1727276400,95.28,99.66,ESE,12,17,28,65,7.1,13.5,,,16100,1.4,4,,,,13.7,12.1
2024-09-25 08:00:00 MDT,1727272800,95.34,99.71,ESE,11,24,,70,6.7,12,,,16100,1.3,4,,,,12,11
2024-09-25 07:00:00 MDT,1727269200,95.49,99.87,ESE,12,21,,74,6.6,11,,,16100,1.2,4,,,,11,10.2
2024-09-25 06:00:00 MDT,1727265600,95.61,99.98,ESE,12,18,28,76,6.3,10.3,,,16100,1.2,4,,,,10.6,10.2
2024-09-25 05:00:00 MDT,1727262000,95.76,100.14,E,10,11,,75,6.1,10.4,,,16100,1.3,4,,,,10.4,9.2
2024-09-25 04:00:00 MDT,1727258400,95.77,100.15,E,8,11,,77,5.5,9.3,,,16100,1.3,4,,,,9.4,8.7
2024-09-25 03:00:00 MDT,1727254800,95.86,100.25,ESE,12,8,,78,5.4,9,,,16100,1.2,4,,,,9.6,9
2024-09-25 02:00:00 MDT,1727251200,95.89,100.28,E,8,11,,76,5.6,9.6,,,16100,1.1,4,,,,10.6,9.6
